subj,block,ttype,mag,amp,dur
c_P17,5,EASY,0.200433,36.344881,0.008000
c_P17,5,EASY,0.614884,170.894647,0.038000
c_P17,5,EASY,0.481750,111.963426,0.008000
c_P17,5,EASY,0.604969,136.476399,0.006000
c_P17,5,EASY,0.415424,95.621072,0.016000
c_P17,5,EASY,0.343842,58.415986,0.012000
c_P17,5,EASY,0.310699,50.764395,0.012000
c_P17,5,EASY,0.540693,79.104894,0.014000
c_P17,5,EASY,0.207068,27.293736,0.006000
c_P17,5,EASY,0.472915,83.103779,0.006000
c_P17,5,EASY,0.401270,98.226737,0.012000
c_P17,5,EASY,0.345351,68.846012,0.020000
c_P17,5,EASY,0.357922,64.678099,0.012000
c_P17,5,EASY,0.446274,91.622229,0.016000
c_P17,5,EASY,0.369849,64.850423,0.014000
c_P17,5,EASY,0.463001,87.276225,0.016000
c_P17,5,EASY,0.403748,69.197753,0.016000
c_P17,5,EASY,0.384569,79.104894,0.014000
c_P17,5,EASY,0.300232,63.463064,0.024000
c_P17,5,EASY,0.333337,62.755406,0.012000
c_P17,5,EASY,0.315636,65.198828,0.014000
c_P17,5,EASY,0.450889,91.275083,0.014000
c_P17,5,EASY,0.326636,57.895672,0.024000
c_P17,5,EASY,0.533853,112.484134,0.028000
c_P17,5,EASY,0.626567,158.033073,0.034000
c_P17,5,EASY,0.296176,52.334105,0.026000
c_P17,5,EASY,0.549015,133.866256,0.026000
c_P17,5,EASY,0.400979,82.055658,0.028000
c_P17,5,EASY,0.522674,92.316520,0.014000
c_P17,5,EASY,0.634170,129.176239,0.016000
c_P17,5,EASY,0.407404,81.368037,0.014000
c_P17,5,EASY,0.446736,98.925613,0.016000
c_P17,5,EASY,0.468813,87.449798,0.016000
c_P17,5,EASY,0.393203,72.842842,0.012000
c_P17,5,EASY,0.688690,157.510727,0.032000
c_P17,5,EASY,0.514098,87.449798,0.014000
c_P17,5,EASY,0.301322,58.939638,0.022000
c_P17,5,EASY,0.568255,109.525943,0.014000
